Borrower Name,Current Approval Amount,Number of Loans,State,NAICS Title,borrower_id
AURORA COOPERATIVE ELEVATOR COMPANY,10000000,1,NE,Ethyl Alcohol Manufacturing,487559
"AUTOMATION PERSONNEL SERVICES, INC.",10000000,1,AL,All Other Business Support Services,2396
AVI FOODSYSTEMS INC.,10000000,1,OH,Food Service Contractors,600008
AXELON SERVICES CORPORATION,10000000,1,NY,Employment Placement Agencies,536248
"BEARCOM GROUP, INC.",10000000,1,TX,Miscellaneous Financial Investment Activities,714568
"BEDDING ACQUISITION, LLC",10000000,1,NY,All Other Miscellaneous Textile Product Mills,536182
BEHAVIORAL HEALTH NETWORK INC.,10000000,1,MA,Offices of Mental Health Practitioners (except Physicians),351214
BENORE LOGISTIC SYSTEMS,10000000,1,MI,"Process, Physical Distribution, and Logistics Consulting Services",396547
BERTUCCIS RESTAURANTS LLC,10000000,1,FL,Full-Service Restaurants,181314
BETHESDA LUTHERAN COMMUNITIES INC,10000000,1,WI,Other Residential Care Facilities,834441
BICKFORD SENIOR LIVING GROUP LLC,10000000,1,KS,Assisted Living Facilities for the Elderly,322886
BILL MILLER BAR-B-Q ENTERPRISES LTD,10000000,1,TX,Full-Service Restaurants,714559
BIRCH FAMILY SERVICES INC,10000000,1,NY,Services for the Elderly and Persons with Disabilities,536265
BKF ENGINEERS,10000000,1,CA,Engineering Services,32291
"BLESSEY MARINE SERVICE, INC.",10000000,1,LA,Inland Water Freight Transportation,338824
BLH ACQUISITION CO. LLC,10000000,1,TX,Full-Service Restaurants,714569
BLOODWORKS,10000000,1,WA,Blood and Organ Banks,815158
BODDIE-NOELL ENTERPRISES INC,10000000,1,NC,Full-Service Restaurants,464116
"BOLTON & MENK, INC.",10000000,1,MN,All Other Specialty Trade Contractors,422935
BORDER FOODS INC,10000000,1,MN,Limited-Service Restaurants,422934
BRAVO BRIO RESTAURANTS LLC,10000000,1,FL,Full-Service Restaurants,181311
BREWSTER AMBULANCE SERVICE INC,10000000,1,MA,Ambulance Services,351228
BRIDGEWELL INC.,10000000,1,MA,Residential Mental Health and Substance Abuse Facilities,351217
BUCA RESTAURANTS 2 INC,10000000,1,FL,Full-Service Restaurants,181309
BUFFETS LLC,10000000,1,TX,Full-Service Restaurants,714547
"BURROW GLOBAL, LLC",10000000,1,TX,Engineering Services,714575
C. OVERAA & CO.,10000000,1,CA,"All Other Professional, Scientific, and Technical Services",32266
C.A. ADVANCED INC,10000000,1,IN,Power and Communication Line and Related Structures Construction,307906
C.A.C INDUSTRIES INC.,10000000,1,NY,Water and Sewer Line and Related Structures Construction,536215
"C2 EDUCATIONAL SYSTEMS, INC.",10000000,1,GA,Exam Preparation and Tutoring,232757
"CADENCE AEROSPACE, LLC",10000000,1,CA,Aircraft Manufacturing,32299
CALIBRE SYSTEMS INC,10000000,1,VA,Other Management Consulting Services,791614
CALIFORNIA FOOD MANAGEMENT LLC,10000000,1,CA,Limited-Service Restaurants,32273
CALIFORNIA PIZZA KITCHEN INC.,10000000,1,CA,Full-Service Restaurants,32270
CAMBA INC.,10000000,1,NY,Civic and Social Organizations,536269
"CAMERON MITCHELL RESTAURANTS, LLC",10000000,1,OH,Full-Service Restaurants,599989
CARE DESIGN NY LLC,10000000,1,NY,Home Health Care Services,536209
CAREER GROUP INC.,10000000,1,CA,"All Other Professional, Scientific, and Technical Services",32328
"CAREHERE MANAGEMENT, PLLC",10000000,1,TN,Home Health Care Services,699935
"CAROLINA RESTAURANT GROUP, INC",10000000,1,NC,Limited-Service Restaurants,464115
CATALYST FAMILY INC,10000000,1,CA,Child Care Services,32284
"CAVE ENTERPRISES OPERATIONS, LLC",10000000,1,IL,Limited-Service Restaurants,271819
CBC RESTAURANT CORP.,10000000,1,PA,Full-Service Restaurants,648282
CEC FACILITIES GROUP LLC,10000000,1,TX,Electrical Contractors and Other Wiring Installation Contractors,714544
CENTER FOR DISABILITY SERVICES INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536232
CENTERLINE LOGISTICS CORPORATION,10000000,1,WA,Inland Water Freight Transportation,815162
"CENTRAL FLORIDA RESTAURANTS, INC.",10000000,1,CA,Full-Service Restaurants,32300
CENTRAL UTAH CLINIC PC,10000000,1,UT,General Medical and Surgical Hospitals,783335
CENVEO WORLDWIDE LIMITED,10000000,1,CT,Stationery Product Manufacturing,163469
"CERCA TROVA RESTAURANT GROUP HOLDINGS, INC.",10000000,1,CA,Full-Service Restaurants,32303
CHAMPLAIN ENTERPRISES LLC,10000000,1,OH,Scheduled Passenger Air Transportation,600005
CHARTWELL STAFFING SERVICES INC.,10000000,1,PA,Employment Placement Agencies,648274
"CHOP'T HOLDINGS, LLC",10000000,1,NY,Limited-Service Restaurants,536184
CITRUS WORLD INC.,10000000,1,FL,"Frozen Fruit, Juice, and Vegetable Manufacturing",181300
CLAY LACY AVIATION INC,10000000,1,CA,Other Support Activities for Air Transportation,32265
COLE SCOTT & KISSANE PA,10000000,1,FL,Offices of Lawyers,181299
COMMODORE CONSTRUCTION CORP.,10000000,1,NY,All Other Specialty Trade Contractors,536253
COMMUNITY BRIDGES INC,10000000,1,AZ,Outpatient Mental Health and Substance Abuse Centers,17882
"COMMUNITY COUNSELLING SERVICE CO., LLC",10000000,1,NY,"All Other Professional, Scientific, and Technical Services",536254
"COMMUNITY FIRST HEALTHCARE OF ILLINOIS, INC.",10000000,1,IL,General Medical and Surgical Hospitals,271816
COMMUNITY HEALTHCARE NETWORK INC.,10000000,1,NY,All Other Outpatient Care Centers,536271
COMPASS HEALTH,10000000,1,WA,Outpatient Mental Health and Substance Abuse Centers,815156
CONSENSYS INC.,10000000,1,NY,Custom Computer Programming Services,536223
"CONSOLIDATED RESTAURANT OPERATIONS, INC.",10000000,1,TX,Full-Service Restaurants,714554
CONSTANT AVIATION LLC,10000000,1,OH,Aircraft Manufacturing,600006
"CONSUMER DIRECT HOLDINGS, INC.",10000000,1,MT,Home Health Care Services,461143
"CONTINUING HEALTHCARE SOLUTIONS, INC.",10000000,1,OH,Nursing Care Facilities (Skilled Nursing Facilities),600003
COOPERATIVE HOME CARE ASSOCIATES INC.,10000000,1,NY,Offices of All Other Miscellaneous Health Practitioners,536236
"CORD CONTRACTING CO, INC",10000000,1,NY,All Other Specialty Trade Contractors,536186
CORSICANA BEDDING LLC,10000000,1,TX,Mattress Manufacturing,714532
CORVAL HOLDING CO.,10000000,1,MN,"Plumbing, Heating, and Air-Conditioning Contractors",422922
COUNTRYMARK REFINING & LOGISTICS LLC,10000000,1,IN,Crude Petroleum Extraction,307913
COUNTY AGENCY INC.,10000000,1,NY,Employment Placement Agencies,536245
COURTESY CORPORATION,10000000,1,WI,Limited-Service Restaurants,834432
CREATIVE FINANCIAL STAFFING INC,10000000,1,MA,Temporary Help Services,351223
"CROSBY ENERGY SERVICES, INC.",10000000,1,LA,Crude Petroleum Extraction,338828
"CULBERSON CONSTRUCTION, LLC",10000000,1,TX,Oil and Gas Pipeline and Related Structures Construction,714535
"D CONSTRUCTION, INC.",10000000,1,IL,"Highway, Street, and Bridge Construction",271835
DANIELS SHARPSMART INC,10000000,1,IL,Hazardous Waste Treatment and Disposal,271831
"DATADIRECT NETWORKS, INC.",10000000,1,CA,Computer Storage Device Manufacturing,32335
DAY PITNEY LLP,10000000,1,CT,Offices of Lawyers,163471
"DELI MANAGEMENT, INC.",10000000,1,TX,Limited-Service Restaurants,714549
DENDREON PHARMACEUTICALS LLC,10000000,1,CA,Pharmaceutical Preparation Manufacturing,32318
DEVELOPMENTAL DISABILITIES INSTITUTE INC,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536249
DIAMOND COMIC DISTRIBUTORS INC,12348414,2,MD,Toy and Hobby Goods and Supplies Merchant Wholesalers,376182
"DIGITAL INTELLIGENCE SYSTEMS, LLC",10000000,1,VA,Other Scientific and Technical Consulting Services,791620
DIOCESE OF COVINGTON,10000000,1,KY,Religious Organizations,330544
DIVERSANT LLC,10000000,1,NJ,Employment Placement Agencies,497285
"DIVERSE STAFFING SERVICES, INC.",10000000,1,IN,Professional Employer Organizations,307905
DIVERSIFIED UTILITY SERVICES INC,10000000,1,CA,Water and Sewer Line and Related Structures Construction,32288
"DOHERTY STAFFING SOLUTIONS, INC",10000000,1,MN,Temporary Help Services,422932
DOTHAN SECURITY INC,10000000,1,AL,Security Guards and Patrol Services,2394
"DRAPER, INC.",10000000,1,IN,Blind and Shade Manufacturing,307909
DRILL TECH DRILLING & SHORING INC,10000000,1,CA,Other Heavy and Civil Engineering Construction,32287
"DUFFY'S HOLDINGS, INC.",10000000,1,FL,Full-Service Restaurants,181318
"DYNAMIC INDUSTRIES, INC.",10000000,1,LA,Oil and Gas Field Machinery and Equipment Manufacturing,338823
"E.A. RENFROE & COMPANY, INC.",10000000,1,AL,All Other Personal Services,2397
EAST BOSTON NEIGHBORHOOD HEALTH CENTER,10000000,1,MA,All Other Outpatient Care Centers,351216
EASTER SEALS NEW HAMPSHIRE INC,10000000,1,NH,Services for the Elderly and Persons with Disabilities,492625
EASTPORT HOLDINGS LLC,10000000,1,TN,Advertising Agencies,699937
"EAT'N PARK HOSPITALITY, INC.",10000000,1,PA,Full-Service Restaurants,648266
EDGEWOOD OPCO LLC,10000000,1,ND,Assisted Living Facilities for the Elderly,484514
EDUCATIONAL SERVICES INC,10000000,1,AZ,Employment Placement Agencies,17883
EGAN COMPANY,10000000,1,MN,"Plumbing, Heating, and Air-Conditioning Contractors",422930
EIGHT O MANAGEMENT INC,10126200,2,TX,Full-Service Restaurants,714634
"EII, INC.",10000000,1,NJ,Electrical Contractors and Other Wiring Installation Contractors,497291
"ELECTROIMPACT, INC.",10000000,1,WA,Other Aircraft Parts and Auxiliary Equipment Manufacturing,815164
EMERGEORTHO P.A.,10000000,1,NC,Offices of Physicians (except Mental Health Specialists),464107
EMMANUEL THELUSME,10000000,1,NY,Home Health Care Services,536219
"EMPIRE EDUCATION GROUP, INC.",10000000,1,PA,Cosmetology and Barber Schools,648279
EMPLOYEE RELATIONS ASSOCIATES INC.,10000000,1,NY,Temporary Help Services,536221
ENCORE REHABILITATION INC,10000000,1,AL,Other Individual and Family Services,2398
"ENERVEST OPERATING, LLC",10000000,1,TX,Oil and Gas Pipeline and Related Structures Construction,714553
ENVIRONMENTAL SCIENCE ASSOCIATES,10000000,1,CA,"All Other Professional, Scientific, and Technical Services",32271
EPSILON SYSTEMS SOLUTIONS INC,10000000,1,CA,Ship Building and Repairing,32268
EUROTECH CONSTRUCTION CORP.,10000000,1,NY,Drywall and Insulation Contractors,536260
EVENTIDE,10000000,1,MN,Nursing Care Facilities (Skilled Nursing Facilities),422921
"EVO TRANSPORTATION & ENERGY SERVICES, INC.",10000000,1,AZ,Freight Transportation Arrangement,17880
EXACT STAFF,10000000,1,CA,Temporary Help Services,32330
"EXPANSE ELECTRICAL COMPANY, LLC",10000000,1,TX,Electrical Contractors and Other Wiring Installation Contractors,714567
FAMILY PRACTICE CENTER  PC,10000000,1,PA,Offices of Physicians (except Mental Health Specialists),648283
FAMILY RESIDENCES AND ESSENTIAL ENTERPRI,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536262
"FASTMED URGENT CARE, P.C.",10000000,1,NC,Offices of Physicians (except Mental Health Specialists),464112
"FAY SERVICING, LLC",10000000,1,IL,Other Activities Related to Credit Intermediation,271836
FCH ENTERPRISES INC.,10000000,1,HI,Food Service Contractors,255993
FENWAY COMMUNITY HEALTH CENTER INC,10000000,1,MA,Offices of Physicians (except Mental Health Specialists),351222
FESCO LTD,10000000,1,TX,Support Activities for Oil and Gas Operations,714550
FEYEN-ZYLSTRA LLC,10000000,1,MI,Electrical Contractors and Other Wiring Installation Contractors,396555
"FIRE & LIFE SAFETY AMERICA, INC.",10000000,1,VA,Fire Protection,791608
FIRST HOME MORTGAGE CORPORATION,12845540,2,MD,Real Estate Credit,376177
FIRST QUALITY MAINTENANCE II LLC,10000000,1,NY,Facilities Support Services,536233
FISHER %26 COMPANY,10000000,1,MI,Motor Vehicle Seating and Interior Trim Manufacturing,396552
FLORIDA MEDICAL CLINIC LLC,10000000,1,FL,Offices of Physicians (except Mental Health Specialists),181308
"FORBES ENERGY SERVICES, LLC",10000000,1,TX,Support Activities for Oil and Gas Operations,714541
"FOREMOST FARMS USA, COOPERATIVE",10000000,1,WI,Cheese Manufacturing,834434
FOUNDATIONS HEALTH SOLUTIONS LLC,10000000,1,OH,Professional Employer Organizations,599994
"FOURTEEN FOODS, LLC",10000000,1,MN,Limited-Service Restaurants,422928
FPR-II LLC,10000000,1,AZ,Temporary Help Services,17878
"FRANK LILL & SON, INC.",10000000,1,NY,All Other Specialty Trade Contractors,536256
"FREIGHTCAR AMERICA, INC.",10000000,1,IL,Railroad Rolling Stock Manufacturing,271827
FRIES RESTAURANT MANAGEMENT LLC,10000000,1,TX,Limited-Service Restaurants,714581
"FRISCH'S RESTAURANTS, INC.",10000000,1,OH,Full-Service Restaurants,600000
"FUSION HOLDINGS, INC.",10000000,1,NE,Temporary Help Services,487558
G W LISK INC,10000000,1,NY,Other Electronic Component Manufacturing,536247
GATEWAY FOUNDATION,10000000,1,IL,Residential Mental Health and Substance Abuse Facilities,271814
"GHILOTTI CONSTRUCTION COMPANY, INC.",10000000,1,CA,"Highway, Street, and Bridge Construction",32305
GLY CONSTRUCTION INC.,10000000,1,WA,Commercial and Institutional Building Construction,815165
GOOD SHEPHERD SERVICES,10000000,1,NY,Child and Youth Services,536224
"GOODMAN NETWORKS, INC.",10000000,1,TX,Electrical Contractors and Other Wiring Installation Contractors,714527
GOODWILL INDUSTRIES OF GREATER NEW YORK AND NORTHERN NEW JER,10000000,1,NY,Vocational Rehabilitation Services,536243
GOODWILL INDUSTRIES OF SOUTHERN CALIF,10000000,1,CA,Civic and Social Organizations,32301
GRAND PERFORMER INC.,10000000,1,FL,Employment Placement Agencies,181312
GRAY ROBINSON PA,10000000,1,FL,Offices of Lawyers,181317
GREATER PHILADELPHIA YMCA,10000000,1,PA,Child Care Services,648269
"GUARDIAN SERVICE INDUSTRIES, INC.",10000000,1,NY,Research and Development in the Social Sciences and Humanities,536240
"GULF INTERSTATE FIELD SERVICES, INC.",10000000,1,TX,"All Other Professional, Scientific, and Technical Services",714566
"GULF ISLAND FABRICATION, INC.",10000000,1,TX,Ship Building and Repairing,714536
GURTZ ELECTRIC CO.,10000000,1,IL,Electrical Contractors and Other Wiring Installation Contractors,271833
GYRODATA INCORPORATED,10000000,1,TX,Support Activities for Oil and Gas Operations,714572
"HAC, INC",10000000,1,OK,Supermarkets and Other Grocery Retailers (except Convenience Retailers),627882
HARTE HANKS INC.,10000000,1,MA,Advertising Agencies,351230
"HATCH STAMPING COMPANY, LLC",10000000,1,MI,Motor Vehicle Metal Stamping,396548
"HAVEN HEALTH GROUP, LLC",10000000,1,CA,Nursing Care Facilities (Skilled Nursing Facilities),32260
HEALTH SERVICES HOLDINGS INC,10000000,1,AZ,Offices of Physicians (except Mental Health Specialists),17879
"HEALTHCARE STAFFING & CONSULTING SERVICES, LLC",10000000,1,NJ,Nursing Care Facilities (Skilled Nursing Facilities),497286
HEALTHCARE SUPPORT STAFFING INC.,10000000,1,FL,Temporary Help Services,181315
HEART TO HEART HOME CARE INC,10000000,1,NY,Home Health Care Services,536212
HENNY PENNY CORP,10000000,1,OH,Other Commercial Equipment Merchant Wholesalers,599998
HERITAGE CHRISTIAN SERVICES INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536207
HKA ENTERPRISES LLC,10000000,1,SC,Engineering Services,687769
"HOA RESTAURANT HOLDER, LLC",10000000,1,GA,Full-Service Restaurants,232761
"HOF'S HUT RESTAURANT, INC.",10000000,1,CA,Full-Service Restaurants,32319
"HOME HEALTH AGENCY - ARIZONA, LLC",10000000,1,AZ,Home Health Care Services,17874
HOMECENTRIS HEALTH CARE LLC,10222800,2,MD,Home Health Care Services,376214
HOPE HOSPICE AND COMMUNITY SERVICES INC - HAD1003,10000000,1,FL,Home Health Care Services,181307
HOPE NETWORK,10000000,1,MI,Outpatient Mental Health and Substance Abuse Centers,396550
HORWITZ INC,10000000,1,MN,"Plumbing, Heating, and Air-Conditioning Contractors",422931
"HOSPITALITY TEAM MEMBERS, INC.",10000000,1,CA,All Other Traveler Accommodation,32304
HUDSON HEADWATERS HEALTH NETWORK,10000000,1,NY,All Other Outpatient Care Centers,536200
"HUITT ZOLLARS, INC.",10000000,1,TX,Geophysical Surveying and Mapping Services,714571
HUMAN CARE LLC,10000000,1,NY,Home Health Care Services,536228
HUMAN TECHNOLOGIES INC,10000000,1,SC,Temporary Help Services,687770
HUMANGOOD NORCAL,10000000,1,CA,Continuing Care Retirement Communities,32258
"HZ OPS HOLDINGS, INC.",10000000,1,TX,Limited-Service Restaurants,714573
I AM BOUNDLESS,10000000,1,OH,Residential Intellectual and Developmental Disability Facilities,600011
"ICON INFORMATION CONSULTANTS, LP",10000000,1,TX,Employment Placement Agencies,714578
"ICONMA, L.L.C.",10000000,1,MI,Other Management Consulting Services,396544
IDEAL CONTRACTING L.L.C.,10000000,1,MI,Commercial and Institutional Building Construction,396546
"IGS VENTURES, INC.",10000000,1,OH,Natural Gas Distribution,599992
ILLINOIS BONE AND JOINT INSTITUTE LLC,10000000,1,IL,Offices of Physicians (except Mental Health Specialists),271820
"INDEPENDENCE CONTRACT DRILLING, INC",10000000,1,TX,Drilling Oil and Gas Wells,714539
"INDEPENDENCE EXCAVATING, INC.",10000000,1,OH,Site Preparation Contractors,600007
INDEPENDENT GROUP HOME LIVING,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536213
INFINITE HEALTH COLLABORATIVE P.A.,10000000,1,MN,Offices of Physicians (except Mental Health Specialists),422929
"INNOVATIVE SERVICE TECHNOLOGY MANAGEMENT SERVICES, INC",10000000,1,GA,Other Business Service Centers (including Copy Shops),232763
"INNOVATIVE STAFF SOLUTIONS, INC.",10000000,1,IL,Temporary Help Services,271828
INSTITUTE FOR FAMILY HEALTH,10000000,1,NY,Freestanding Ambulatory Surgical and Emergency Centers,536229
INTERDENT SERVICE CORPORATION,10000000,1,CA,Office Administrative Services,32292
"INTERMED, P.A.",10000000,1,ME,Offices of Physicians (except Mental Health Specialists),392924
"INTERMOUNTAIN EMPLOYMENT SERVICE, INC.",10000000,1,UT,Temporary Help Services,783334
"ISLAND OPERATING COMPANY, INC.",10000000,1,TX,Crude Petroleum Extraction,714542
"ISLANDS RESTAURANTS, L.P.",10000000,1,CA,Full-Service Restaurants,32302
"ITA GROUP, INC.",10000000,1,IA,All Other Traveler Accommodation,260458
ITO INCORPORATED,10000000,1,CA,Food Service Contractors,32259
"J.&M. BROWN COMPANY, INC.",10000000,1,MA,Electrical Contractors and Other Wiring Installation Contractors,351233
"J.D. ECKMAN, INC.",10000000,1,PA,"Highway, Street, and Bridge Construction",648284
J.F. KIELY CONSTRUCTION CO.,10000000,1,NJ,"Highway, Street, and Bridge Construction",497287
"J.J. WHITE, INC.",10000000,1,PA,Other Heavy and Civil Engineering Construction,648276
J.P. CULLEN & SONS INC.,10000000,1,WI,Commercial and Institutional Building Construction,834440
JAMES WILSON,10000000,1,NY,Voluntary Health Organizations,536214
JEWISH CHILD CARE ASSOCIATION OF NEW YORK,10000000,1,NY,Child and Youth Services,536205
"JF ACQUISITION, LLC",10000000,1,NC,Support Activities for Oil and Gas Operations,464111
"JOHN H. CARTER CO., INC.",10000000,1,LA,Industrial Valve Manufacturing,338825
"JOHN SOULES FOODS, INC",10000000,1,TX,Poultry and Poultry Product Merchant Wholesalers,714538
"JONES CONTRACTORS, INC.",10000000,1,TN,Oil and Gas Pipeline and Related Structures Construction,699936
"JOURNEYCARE, INC.",10000000,1,IL,Nursing Care Facilities (Skilled Nursing Facilities),271812
JOY CONE COMPANY,10000000,1,PA,Cookie and Cracker Manufacturing,648280
"JRN, INC.",10000000,1,TN,Limited-Service Restaurants,699943
JTS ENTERPRISES OF TAMPA LTD,10000000,1,FL,Limited-Service Restaurants,181313
JUST BORN INC,10000000,1,PA,Nonchocolate Confectionery Manufacturing,648278
KASOWITZ BENSON TORRES LLP,10000000,1,NY,Offices of Lawyers,536266
KEECO LLC,10000000,1,CA,All Other Miscellaneous Textile Product Mills,32279
KELLAN RESTAURANT MANAGEMENT CORP,10000000,1,MO,Full-Service Restaurants,441351
KELSO-BURNETT EMPLOYEE STOCK OWNERSHIP PLAN,10000000,1,IL,Electrical Contractors and Other Wiring Installation Contractors,271834
"KIMCO STAFFING SERVICES, INC.",10000000,1,CA,Temporary Help Services,32277
"KING'S SEAFOOD COMPANY, LLC",10000000,1,CA,Full-Service Restaurants,32316
KIPP NEW ORLEANS INC,10000000,1,LA,Elementary and Secondary Schools,338826
"KNOUSE FOODS COOPERATIVE, INC.",10000000,1,PA,Fruit and Vegetable Canning,648273
KULITE SEMICONDUCTOR PRODUCTS INC,10000000,1,NJ,Other Aircraft Parts and Auxiliary Equipment Manufacturing,497289
LA CLINICA DE LA RAZA,10000000,1,CA,"Offices of Physicians, Mental Health Specialists",32314
"LABORNOW, INC",10000000,1,MA,Employment Placement Agencies,351231
LAKEHEAD CONTRUCTORS INC,10000000,1,WI,All Other Specialty Trade Contractors,834436
"LAUREN ENGINEERS & CONSTRUCTORS, INC.",10000000,1,TX,Other Heavy and Civil Engineering Construction,714537
LAW OFFICES OF GERALD SHAPIRO LLC,10000000,1,IL,Offices of Lawyers,271825
LAZY DOG RESTAURANTS LLC,10000000,1,CA,Full-Service Restaurants,32317
LEGACY COMMUNITY HEALTH SERVICES INC.,10000000,1,TX,"Offices of Physicians, Mental Health Specialists",714551
LEGACY TREATMENT SERVICES,10000000,1,NJ,Outpatient Mental Health and Substance Abuse Centers,497296
"LEGAL SEA FOODS, LLC",10000000,1,MA,Full-Service Restaurants,351232
LEGEND SENIOR LIVING LLC,10000000,1,KS,Assisted Living Facilities for the Elderly,322884
"LEGILITY, LLC",10000000,1,TN,All Other Legal Services,699938
LEMEK LLC,10000000,1,MD,Limited-Service Restaurants,376150
"LEWIS ENERGY GROUP, LP",10000000,1,TX,Natural Gas Extraction,714533
LIFETIME ASSISTANCE INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536241
"LIGHTHOUSE ELECTRIC CO., INC",10000000,1,PA,Electrical Contractors and Other Wiring Installation Contractors,648268
LINK STAFFING SERVICES CORPORATION,10000000,1,TX,Temporary Help Services,714526
LONGEVITY HEALTH SERVICES LLC,10000000,1,NY,Home Health Care Services,536227
LOS ANGELES PHILHARMONIC ASSOCIATION,10000000,1,CA,Musical Groups and Artists,32333
"LSB INDUSTRIES, INC",10000000,1,OK,Nitrogenous Fertilizer Manufacturing,627881
"LUBRICATION TECHNOLOGIES, INC.",10000000,1,MN,Petroleum Lubricating Oil and Grease Manufacturing,422918
"LUBY'S, INC.",10000000,1,TX,Limited-Service Restaurants,714540
LUDVIK ELECTRIC CO.,10000000,1,CO,Electrical Contractors and Other Wiring Installation Contractors,145822
"LUPE HOLDINGS, LP",10000000,1,TX,Full-Service Restaurants,714580
"LUTHERAN SERVICES FLORIDA, INC",10000000,1,FL,Religious Organizations,181301
M CROWD RESTAURANT GROUP INC,10000000,1,TX,Full-Service Restaurants,714531
MAC ACQUISITION LLC,10000000,1,CO,Full-Service Restaurants,145819
"MAGNUM DRYWALL, INC",10000000,1,CA,Construction Sand and Gravel Mining,32307
MALLIK A DURBAR,10000000,1,NY,Home Health Care Services,536190
"MANA PRODUCTS, INC.",10000000,1,NY,Toilet Preparation Manufacturing,536195
"MAPLES INDUSTRIES, INC.",10000000,1,AL,Carpet and Rug Mills,2395
MARCH OF DIMES INC.,10000000,1,VA,Voluntary Health Organizations,791618
"MARLABS, INC.",10000000,1,NJ,Custom Computer Programming Services,497295
"MARQUIS CONSTRUCTION SERVICES, LLC",10000000,1,TX,All Other Specialty Trade Contractors,714558
"MAYNARD COOPER & GALE, PC.",10000000,1,AL,Offices of Lawyers,2392
"MAZZELLA HOLDING COMPANY, INC.",10000000,1,OH,All Other Miscellaneous Fabricated Metal Product Manufacturing,599991
"MCC GROUP HOLDINGS, INC.",10000000,1,AR,"Plumbing, Heating, and Air-Conditioning Contractors",12599
MCDONALD ELECTRICAL CORPERATION,10000000,1,MA,Electrical Contractors and Other Wiring Installation Contractors,351219
"MCDONOGH SCHOOL, INCORPORATED",11500000,2,MD,Elementary and Secondary Schools,376189
"MCMENAMINS, INC.",10000000,1,OR,Full-Service Restaurants,637104
